course_code,course_duration,course_fees_int,course_fees_uk,course_intake,course_location,course_title,course_type,course_url,data_requirements
Ba,"Full time, 3/4 years",2310,9250,September 2023,Stratford Campus,Ba Hons Early Childhood Studies,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-early-childhood-studies,112 UCAS points from an equivalent Level 3 qualification listed on the 
Ba,"Full time, 3 years",2310,9250,September 2023,Online,Ba Hons Education Studies Online,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-education-studies-online,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – DD,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 1 year",2310,9250,September 2023,Stratford Campus,Ba Hons Early Childhood Montessori Pedagogy Level 6 Top Up,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-early-childhood-montessori-pedagogy-level-6-top-up,Completion of Montessori Foundation Degree in Montessori Pedagogy or equivalent qualification with 240 credits
Ba,"Full time, 3 years",2310,9250,September 2023,Stratford Campus,Ba Hons Education Studies,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-education-studies,112 UCAS points from an equivalent Level 3 qualification listed on the 
Ba,"Full time, 1 year",2310,9250,September 2023,Online,Ba Hons Education Top Online,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-education-top-online,"For entry to Level 5 - Evidence of 120 credits gained through Level 4 study in an appropriate education/training relevant context.,For entry to Level 6 - Evidence of 240 credits gained through study at Level 4/5 study in an appropriate education/training relevant context."
Ba,"Full time, 2 years",2310,9250,September 2023,Stratford Campus,Ba Hons Education Top,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-education-top,"For entry to Level 5 - Evidence of 120 credits gained through Level 4 study in an appropriate education/training relevant context.,For entry to Level 6 - Evidence of 240 credits gained through study at Level 4/5 study in an appropriate education/training relevant context."
Ba,"Full time, 1 year",13740,9250,September 2023,Docklands Campus,Ba Hons Esports Top,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-esports-top,"GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics,
	 "
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Events Management,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-events-management,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics, "
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Fashion Buying Merchandising Innovation,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-buying-merchandising-innovation,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Fashion Culture Business,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-culture-business,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3 years",14161,9250,September 2023,Docklands Campus,Ba Hons Fashion Design,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-design,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Fashion Journalism,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-journalism,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D* D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3/4 years",14160,9250,September 2023,Docklands Campus,Ba Hons Fashion Marketing,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-marketing,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3 years",13740,9250,September 2023,Docklands Campus,Ba Hons Fashion Product Management Innovation,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-product-management-innovation,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 1 year",14160,9250,September 2023,Docklands Campus,Ba Hons Fashion Studies Top,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-studies-top, 
Ba,"Full time, 3/4 years",2310,9250,September 2023,Online,Ba Hons Early Childhood Studies Online,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-early-childhood-studies-online,112 UCAS points from an equivalent Level 3 qualification listed on the 
Ba,"Full time, 3/4 years",14160,9250,September 2023,Docklands Campus,Ba Hons Fine Art Technology,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-fine-art-technology,112 UCAS points from an equivalent Level 3 qualification listed on the 
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Fine Art,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-fine-art,112 UCAS points from an equivalent Level 3 qualification listed on the 
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Game Design,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-game-design,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC level 3 Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3/4 years",13920,9250,September 2023,Docklands Campus,Ba Hons Graphic Design Illustration Visual Communication,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-graphic-design-illustration-visual-communication,112 UCAS points from an equivalent Level 3 qualification listed on the 
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Graphic Design,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-graphic-design,112 UCAS points from an equivalent Level 3 qualification listed on the 
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Hospitality Management Entrepreneurship,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-hospitality-management-entrepreneurship,"A Levels In at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics, "
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Hospitality Management Revenue Analytics,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-hospitality-management-revenue-analytics,"A Levels,BTEC Extended Diploma – MPP,BTEC Diploma – MM,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,>GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics, "
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Hospitality Management,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-hospitality-management,"A Levels In at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics, "
Ba,"Full time, 3 years",13920,9250,September 2023,Docklands Campus,Ba Hons Illustration Animation,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-illustration-animation,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Illustration,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-illustration,112 UCAS points from an equivalent Level 3 qualification listed on the 
Ba,"Full time, 3/4 years",14160,9250,September 2023,Docklands Campus,Ba Hons Interior Architecture,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-interior-architecture,"A Levels in at least two subjects,BTEC Extended Diploma – DDM,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level "
Ba,"Full time, 3/4 years",14160,9250,September 2023,Docklands Campus,Ba Hons Interior Design,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-interior-design,"A Levels,BTEC Extended Diploma – MPP,BTEC Diploma – MM,Access to HE Diploma                                                 ,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3 years",13740,9250,September 2023,University Square Stratford,Ba Hons Criminology Psychology,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-criminology-psychology,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate - 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics,
	 "
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Media Communication,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-media-communication,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Journalism,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-journalism,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",2310,9250,September 2023,Docklands Campus,Ba Hons Media Immersive Production,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-media-immersive-production,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Music Journalism,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-music-journalism,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3 years",14160,9250,September 2023,University Square Stratford,Ba Hons Music Performance Production,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-music-performance-production,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",14160,9250,September 2023,University Square Stratford,Ba Hons Music Technology Production,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-music-technology-production,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Events Management Entrepreneurship,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-events-management-entrepreneurship,"A Levels in at least two subjects,BTEC Extended Diploma– DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics, "
Ba,"Full time, 3/4 years",2310,9250,September 2023,Docklands Campus,Ba Hons Photography,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-photography,"A Levels in at least two subjects,BTEC Extended Diploma – DMM ,BTEC Diploma – D*D*,Access to HE Diploma ,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics "
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Politics International Relations,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-politics-international-relations,"112 UCAS points from an equivalent Level 3 qualification listed on the , "
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Animation,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-animation,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",14160,9250,September 2023,Stratford Campus,Ba Hons Primary Education Qts,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-primary-education-qts,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels - International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,Level 3 Extended Diploma for Children and Young People's Workforce (QCF) / Level 3 Diploma in Child Care and Education,GCSE English Grade 4/C,GCSE Mathematics Grade 4/C,Functional skills are not accepted for this course and we also require GCSE Science grade 4 or above."
Ba,"Full time, 3 years",2310,9250,September 2023,Stratford Campus,Ba Hons Psychosocial Studies,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-psychosocial-studies,"112 UCAS points from an equivalent Level 3 qualification listed on the , "
Ba,"Full time, 3 years",13920,9250,September 2023,Docklands Campus,Ba Hons Product Design,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-product-design,"A Levels ,BTEC Extended Diploma – MPP,BTEC Diploma – MM,Access to HE Diploma,T Levels                                                 ,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Social Media,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-social-media,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Social Work,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-social-work,"A Levels,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3/4 years",2310,9250,September 2023,Stratford Campus,Ba Hons Sociology Criminology,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-sociology-criminology,112 UCAS points from an equivalent Level 3 qualification listed on the 
Ba,"Full time, 3 years",2310,9250,September 2023,Docklands Campus,Ba Hons Sociology,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-sociology,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3 years",2310,9250,September 2023,University Square Stratford,Ba Hons Sound Music Games,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-sound-music-games,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to Higher Education Diploma (QAA Approved) with 60 credits overall and 45 credits at level 3,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",14160,9250,September 2023,University Square Stratford,Ba Hons Sound Music Theatre,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-sound-music-theatre,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3/4 years",,9250,September 2023,Online,Ba Hons Special Education Online,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-special-education-online,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level ,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3/4 years",2310,9250,September 2023,Stratford Campus,Ba Hons Special Education,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-special-education,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – DD,Access to HE Diploma,T Levels - International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3 years",13740,9250,September 2023,Docklands Campus,Ba Hons Sport Business Management,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-sport-business-management,"A Levels in at least two subjects,BTEC Extended Diploma - DMM,BTEC Diploma - D*D*,International Baccalaureate - 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics,
	 "
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Sports Journalism,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-sports-journalism,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",2310,9250,September 2023,Docklands Campus,Ba Hons Sustainable Development Social Change,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-sustainable-development-social-change,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate,24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Sustainable Fashion Management,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-sustainable-fashion-management,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Tourism Management Entrepreneurship,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-tourism-management-entrepreneurship,"A Levels in at least two subjects,BTEC Extended Diploma - DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics,
	 "
Ba,"Full time, 3/4 years",14160,9250,September 2023,Docklands Campus,Ba Hons Tourism Management,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-tourism-management,"A Levels in at least two subjects,BTEC Extended Diploma,DMM,BTEC Diploma – D*D*,Access to HE Diploma - T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics,
	 "
Ba,"Full time, 3 years",2310,9250,September 2023,Stratford Campus,Ba Hons Youth Work,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-youth-work,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – DD,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics"
Beng,"Full time, 3 years",13920,9250,September 2023,Docklands Campus,Beng Hons Aeronautical Engineering,Undergraduate,https://uel.ac.uk/undergraduate/courses/beng-hons-aeronautical-engineering,112 UCAS points from an equivalent Level 3 qualification listed on the 
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Advertising,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-advertising,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
